average_rating,num_pages,num_occ_title,num_occ_authors,num_occ_genre,publication_year,top_genre,Class
4.38,352.0,1.0,25.0,52.0,1989.0,0.0,0.0
4.07,560.0,5.0,41.0,4027.0,2004.0,1.0,0.0
4.52,464.0,1.0,3.0,1.0,1984.0,0.0,0.0
4.14,259.0,1.0,19.0,3.0,2006.0,0.0,0.0
4.02,127.0,1.0,16.0,191.0,2004.0,0.0,0.0
4.07,200.0,1.0,3.0,50.0,1996.0,0.0,0.0
3.88,80.0,1.0,10.0,850.0,2002.0,1.0,1.0
3.77,288.0,1.0,11.0,4027.0,2006.0,1.0,1.0
4.13,424.0,1.0,1.0,587.0,2004.0,1.0,0.0
4.24,48.0,1.0,10.0,850.0,2006.0,1.0,0.0
4.2,569.0,1.0,13.0,850.0,2006.0,1.0,0.0
4.55,296.0,1.0,4.0,1.0,2003.0,0.0,0.0
3.79,80.0,1.0,10.0,850.0,2006.0,1.0,1.0
3.85,224.0,1.0,34.0,4027.0,2000.0,1.0,1.0
4.05,838.0,7.0,54.0,4027.0,2001.0,1.0,0.0
3.99,208.0,1.0,12.0,312.0,2006.0,1.0,1.0
4.15,32.0,1.0,5.0,850.0,1992.0,1.0,0.0
4.01,476.0,1.0,29.0,4027.0,2005.0,1.0,0.0
4.12,160.0,1.0,2.0,189.0,2015.0,0.0,0.0
3.83,436.0,1.0,1.0,136.0,2007.0,0.0,1.0
4.49,864.0,1.0,3.0,4027.0,2000.0,1.0,0.0
4.27,259.0,1.0,3.0,587.0,2006.0,1.0,0.0
3.76,408.0,1.0,30.0,4027.0,2000.0,1.0,1.0
3.84,403.0,1.0,11.0,850.0,1993.0,1.0,1.0
4.0,391.0,1.0,16.0,4027.0,2006.0,1.0,0.0
3.82,73.0,1.0,6.0,228.0,2004.0,0.0,1.0
3.81,245.0,1.0,6.0,587.0,2006.0,1.0,1.0
4.06,336.0,1.0,4.0,95.0,2003.0,0.0,0.0
3.92,448.0,1.0,14.0,587.0,1997.0,1.0,1.0
3.82,240.0,1.0,5.0,136.0,1992.0,0.0,1.0
3.92,905.0,1.0,15.0,189.0,2000.0,0.0,1.0
3.88,256.0,1.0,13.0,114.0,1999.0,0.0,1.0
4.41,32.0,1.0,5.0,6.0,1996.0,0.0,0.0
4.0,172.0,1.0,1.0,189.0,1990.0,0.0,0.0
3.91,397.0,1.0,12.0,3.0,1995.0,0.0,1.0
4.05,360.0,1.0,9.0,4027.0,2003.0,1.0,0.0
3.93,211.0,2.0,17.0,4027.0,2003.0,1.0,1.0
3.88,253.0,1.0,2.0,50.0,2001.0,0.0,1.0
3.97,97.0,1.0,7.0,850.0,2004.0,1.0,1.0
3.91,244.0,2.0,35.0,4027.0,2006.0,1.0,1.0
4.05,436.0,1.0,9.0,4027.0,2004.0,1.0,0.0
3.95,480.0,1.0,1.0,587.0,2006.0,1.0,1.0
4.35,96.0,1.0,15.0,109.0,1994.0,0.0,0.0
3.77,157.0,1.0,12.0,4027.0,1992.0,1.0,1.0
4.09,309.0,1.0,30.0,226.0,1991.0,0.0,0.0
3.79,696.0,3.0,4.0,4027.0,2003.0,1.0,1.0
4.3,320.0,1.0,20.0,189.0,2003.0,0.0,0.0
4.25,608.0,1.0,4.0,4027.0,1991.0,1.0,0.0
3.47,182.0,1.0,5.0,4027.0,2003.0,1.0,1.0
4.25,320.0,1.0,6.0,4027.0,1999.0,1.0,0.0
3.79,576.0,1.0,14.0,4027.0,2000.0,1.0,1.0
4.03,248.0,1.0,2.0,228.0,2006.0,0.0,0.0
3.98,197.0,1.0,11.0,4027.0,2005.0,1.0,1.0
4.2,371.0,1.0,1.0,587.0,2001.0,1.0,0.0
4.17,212.0,1.0,12.0,109.0,1998.0,0.0,0.0
4.15,144.0,1.0,9.0,42.0,2004.0,0.0,0.0
3.48,292.0,1.0,5.0,4027.0,2006.0,1.0,1.0
4.03,296.0,1.0,30.0,4027.0,2000.0,1.0,0.0
4.08,301.0,1.0,3.0,587.0,1993.0,1.0,0.0
3.9,249.0,6.0,82.0,191.0,2013.0,0.0,1.0
3.6,32.0,1.0,2.0,850.0,2006.0,1.0,1.0
3.83,272.0,1.0,29.0,4027.0,2004.0,1.0,1.0
3.9,214.0,1.0,7.0,366.0,1992.0,1.0,1.0
3.99,533.0,1.0,38.0,587.0,2004.0,1.0,1.0
3.92,811.0,1.0,8.0,4027.0,2005.0,1.0,1.0
3.14,64.0,1.0,16.0,184.0,2004.0,0.0,1.0
3.55,304.0,1.0,6.0,4027.0,2001.0,1.0,1.0
4.09,375.0,1.0,18.0,312.0,2006.0,1.0,0.0
4.56,188.0,1.0,22.0,13.0,2003.0,0.0,0.0
3.87,752.0,2.0,16.0,4027.0,2005.0,1.0,1.0
3.76,493.0,1.0,29.0,4027.0,2006.0,1.0,1.0
4.04,414.0,1.0,2.0,226.0,1998.0,0.0,0.0
4.09,206.0,1.0,2.0,4027.0,1998.0,1.0,0.0
3.59,320.0,1.0,59.0,4027.0,1999.0,1.0,1.0
3.96,704.0,1.0,1.0,587.0,2002.0,1.0,1.0
4.33,558.0,1.0,3.0,366.0,2001.0,1.0,0.0
4.15,894.0,1.0,4.0,8.0,1998.0,0.0,0.0
4.06,272.0,1.0,31.0,228.0,2006.0,0.0,0.0
3.88,233.0,1.0,11.0,4027.0,2005.0,1.0,1.0
4.02,675.0,1.0,12.0,4027.0,1999.0,1.0,0.0
3.74,182.0,1.0,1.0,587.0,2006.0,1.0,1.0
4.11,215.0,1.0,1.0,228.0,2006.0,0.0,0.0
4.08,400.0,1.0,6.0,1.0,1999.0,0.0,0.0
3.82,457.0,2.0,16.0,228.0,1956.0,0.0,1.0
4.01,576.0,1.0,5.0,4027.0,2006.0,1.0,0.0
